,invitation_code,qt1,qt2,qt3,qt4,qt5,qf1,qf2,qf3,qf4,qd1,qd2,qd3,qd4,qb1,qb2,qb3,qb4,qb5,qp1,qp2,qp3,qp4,qc1,qc2,qc3,qc4,cz,sdr,cf,ep,er,education_name,gender_name,stage_name,study,responsibility_name,stage_work_resp,industry_name,no_emp,age_name,country_name,area,Trust,Resilience,Diversity,Belief,Perfection,Collaboration,Comfort Zone,Innovation Zone,BII Score,school_name,before_after
0,pre-bmoe-f19-1,4,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,4,5,3,5,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,9.399999999999999,10.0,10.0,10.0,9.15625,10.0,10.0,10.0,9.793750000000001,CAL,Before
1,pre-bmoe-f19-1,4,5,4,4,2,5,4,2,4,5,4,3,4,4,5,5,5,2,5,4,4,1,5,5,4,3,1,3,2,2,2,Some College,Female,Still in school,"Health, Medical, & Social Sciences/Services",,,,,Under 29,United States of America (USA),94582.0,5.875000000000001,6.34375,7.1875,7.975,3.25,6.90625,1.0,1.9000000000000001,5.633928571428571,CAL,Before
2,pre-bmoe-f19-1,2,4,2,3,4,5,5,5,5,5,5,5,4,4,5,4,4,5,5,3,3,3,5,4,4,5,3,5,3,4,2,Bachelor's Degree,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),408.0,3.8499999999999996,10.0,9.71875,8.95,4.9375,9.4375,7.0,7.6000000000000005,7.784821428571428,CAL,Before
3,pre-bmoe-f19-1,2,4,3,3,3,4,3,4,5,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3,5,3,Some College,Male,Still in school,Finance,,,,,Under 29,United States of America (USA),914.0,4.675000000000001,7.1875,7.75,7.15,3.8125,7.46875,7.0,7.15,6.456249999999999,CAL,Before
4,pre-bmoe-f19-1,4,4,4,2,3,5,5,5,5,5,5,5,4,5,4,4,3,5,4,3,3,4,4,5,4,3,3,4,3,3,3,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,6.699999999999999,10.0,9.71875,8.35,5.5,6.625,7.0,7.15,7.720535714285715,CAL,Before
5,pre-bmoe-f19-1,4,2,4,3,3,4,5,4,4,3,2,1,4,2,4,4,3,4,1,4,3,4,5,3,4,4,2,3,4,5,1,Some College,Male,Recently started career,,Employee (Hourly or Salaried),Expert or Senior,"Professional, Scientific, and Technical Services",14.0,Under 29,"Korea, Republic of (South Korea)",82.0,6.550000000000001,8.59375,3.25,7.074999999999999,6.625,7.75,4.0,4.300000000000001,6.3062499999999995,Unknown,Before
6,pre-bmoe-f19-1,4,2,4,2,2,5,5,4,5,5,5,5,5,4,5,5,5,4,3,4,4,3,5,5,3,2,3,5,4,3,4,PhD (or Beyond),Female,Well into career,,Employee (Hourly or Salaried),Expert or Senior,Educational Services,500.0,Over 40,Greece,30.0,7.75,9.15625,10.0,9.174999999999999,4.375,5.21875,7.0,7.6000000000000005,7.610714285714286,Unknown,Before
7,pre-bmoe-f19-1,1,3,5,2,2,5,5,4,5,5,4,4,5,5,4,5,4,5,3,2,3,4,4,4,3,3,3,5,4,5,3,Master's Degree (or Similar),Male,Well into career,,Employee (Hourly or Salaried),Professor,"Professional, Scientific, and Technical Services",3.0,Over 40,India,91.0,5.95,9.15625,8.3125,9.174999999999999,5.5,6.0625,7.0,7.6000000000000005,7.39375,Unknown,Before
8,pre-bmoe-f19-1,3,4,3,4,4,5,4,3,5,5,2,4,3,3,3,4,4,5,5,4,2,2,5,5,4,4,1,4,4,3,3,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94539.0,4.075,7.46875,6.0625,7.525,6.34375,8.3125,1.0,2.35,6.019642857142857,CAL,Before
9,pre-bmoe-f19-1,4,3,4,1,1,5,4,4,5,4,3,2,4,5,4,4,4,5,5,2,4,2,5,4,4,4,2,4,4,4,2,Bachelor's Degree,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),,8.724999999999998,8.3125,5.21875,8.575,2.96875,8.03125,4.0,4.75,6.654464285714285,CAL,Before
10,pre-bmoe-f19-1,1,4,3,3,3,5,5,5,5,5,5,5,5,5,5,1,5,5,2,1,4,4,4,5,1,1,2,5,3,5,4,Bachelor's Degree,Male,Recently started career,,Employee (Hourly or Salaried),Manager,Educational Services,5.0,Under 29,India,91.0,4.075000000000001,10.0,10.0,7.600000000000001,4.09375,2.96875,4.0,5.2,6.276785714285714,Unknown,Before
11,pre-bmoe-f19-1,4,3,5,3,2,5,5,4,5,5,4,5,5,4,5,4,5,5,4,5,1,4,5,5,4,5,3,4,5,4,1,Some College,Male,Still in school,Natural Resource Management (and Related),,,,,Under 29,United States of America (USA),94709.0,7.15,9.15625,9.15625,9.174999999999999,8.875,9.71875,7.0,7.15,8.625892857142857,CAL,Before
12,pre-bmoe-f19-1,4,4,3,5,1,5,5,4,5,5,4,5,5,5,5,5,5,4,3,5,2,2,5,5,3,3,3,4,3,2,3,Some College,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),510.0,5.875,9.15625,9.15625,9.4,7.1875,6.625,7.0,7.15,7.792857142857143,CAL,Before
13,pre-bmoe-f19-1,4,3,4,3,3,4,5,4,5,5,4,4,5,4,3,3,4,4,2,3,4,4,4,5,4,4,2,4,4,5,3,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),,6.324999999999999,8.875,8.3125,6.550000000000001,4.65625,8.03125,4.0,4.75,6.785714285714286,CAL,Before
14,pre-bmoe-f19-1,4,3,3,3,2,4,4,3,5,4,4,3,4,4,4,3,3,3,3,2,3,2,4,4,4,3,2,4,3,2,1,Some College,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),510.0,6.699999999999999,7.1875,6.90625,6.324999999999999,4.9375,6.34375,4.0,4.75,6.1642857142857155,CAL,Before
15,pre-bmoe-f19-1,2,4,2,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,2,1,5,4,1,Bachelor's Degree,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94030.0,4.449999999999999,8.3125,10.0,10.0,2.6875,9.4375,4.0,3.4000000000000004,6.8982142857142845,CAL,Before
16,pre-bmoe-f19-1,1,4,2,4,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,1,3,2,3,3,3,3,2,5,3,2,2,Some College,Male,Still in school,Finance,,,,,29 to 40,United States of America (USA),510.0,2.0500000000000003,10.0,10.0,7.15,4.65625,5.5,4.0,5.2,6.365178571428571,Unknown,Before
17,pre-bmoe-f19-1,3,4,4,3,1,4,5,4,5,4,3,4,4,4,3,4,4,4,4,4,3,4,4,5,4,3,1,4,3,4,3,Bachelor's Degree,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,6.699999999999999,8.875,6.90625,7.15,5.78125,6.625,1.0,2.35,6.341071428571429,CAL,Before
18,pre-bmoe-f19-1,4,4,4,4,2,5,4,3,5,5,4,4,5,5,4,5,5,4,2,3,2,3,4,5,4,4,2,5,4,4,2,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),95054.0,6.1,7.46875,8.3125,8.8,7.1875,8.03125,4.0,5.2,7.3,CAL,Before
19,pre-bmoe-f19-1,2,4,3,1,3,5,5,4,5,5,5,5,5,5,4,4,3,4,4,4,2,3,4,5,4,3,2,4,3,5,1,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,5.875000000000001,9.15625,10.0,7.75,6.90625,6.625,4.0,4.75,7.294642857142857,CAL,Before
20,pre-bmoe-f19-1,2,3,4,2,3,4,4,3,5,5,3,4,4,4,4,4,4,4,3,4,2,4,4,4,3,4,1,4,4,2,1,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94555.0,5.725,7.1875,7.1875,7.75,7.46875,7.46875,1.0,2.35,6.448214285714286,CAL,Before
21,pre-bmoe-f19-1,2,3,4,4,3,4,5,4,5,3,3,4,4,4,4,3,4,4,3,2,2,2,4,4,3,4,2,4,3,4,2,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),,4.5249999999999995,8.875,6.625,7.15,6.34375,7.46875,4.0,4.75,6.533928571428571,CAL,Before
22,pre-bmoe-f19-1,4,4,4,3,2,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,2,5,3,3,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),510.0,6.699999999999999,5.78125,7.75,6.699999999999999,4.09375,5.78125,4.0,5.2,6.000892857142857,CAL,Before
23,pre-bmoe-f19-1,3,4,3,2,3,5,5,3,4,5,4,5,4,3,3,4,4,5,5,4,2,2,5,5,4,4,1,4,4,2,1,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,5.875000000000001,8.03125,8.875,7.525,6.34375,8.3125,1.0,2.35,6.758928571428571,CAL,Before
24,pre-bmoe-f19-1,4,3,4,3,2,2,3,3,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,3,3,2,5,3,3,2,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),10011.0,6.924999999999999,5.5,10.0,7.75,4.09375,6.0625,4.0,5.2,6.504464285714286,CAL,Before
25,pre-bmoe-f19-1,4,3,3,3,2,3,4,3,4,5,5,4,4,3,4,3,4,4,3,4,3,3,4,5,4,3,1,3,4,4,3,Some College,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),510.0,6.699999999999999,6.625,8.875,6.925000000000001,5.78125,6.625,1.0,1.9000000000000001,6.204464285714287,CAL,Before
26,pre-bmoe-f19-1,4,2,4,2,1,4,4,4,5,5,4,4,5,4,4,2,4,2,2,5,1,5,4,5,4,4,1,5,3,2,2,Some College,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),510.0,8.35,8.03125,8.3125,5.35,9.71875,8.03125,1.0,2.8,7.227678571428571,CAL,Before
27,pre-bmoe-f19-1,4,4,5,4,2,5,4,4,3,4,4,2,5,2,4,3,5,5,5,2,2,3,4,4,3,4,2,2,4,3,2,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),95630.0,6.324999999999999,7.75,6.34375,7.524999999999999,6.0625,7.46875,4.0,3.85,6.4750000000000005,CAL,Before
28,pre-bmoe-f19-1,4,5,4,5,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,5,3,5,4,2,4,4,4,3,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,5.275,10.0,10.0,7.75,6.625,8.03125,4.0,4.75,7.490178571428571,CAL,Before
29,pre-bmoe-f19-1,3,4,2,4,2,4,3,4,5,4,3,3,3,4,4,4,4,3,4,4,2,4,5,4,4,2,2,3,2,2,3,Bachelor's Degree,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94720.0,5.05,7.1875,5.78125,7.15,7.1875,5.21875,4.0,4.300000000000001,5.982142857142857,CAL,Before
30,pre-bmoe-f19-1,4,3,4,4,2,4,4,4,4,4,3,4,4,2,4,4,4,4,2,4,2,3,4,4,4,4,2,4,3,5,5,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),95014.0,6.324999999999999,7.75,6.90625,7.299999999999999,7.46875,7.75,4.0,4.75,6.892857142857143,CAL,Before
31,pre-bmoe-f19-1,2,2,3,2,3,5,4,4,5,5,5,4,5,3,4,4,4,5,5,4,2,4,4,4,3,4,2,5,4,5,5,PhD (or Beyond),Male,Well into career,,Employee (Hourly or Salaried),Director,Educational Services,5000.0,Over 40,Brazil,5531.0,5.725,8.3125,9.15625,8.125,6.90625,7.46875,4.0,5.2,7.270535714285715,Unknown,Before
32,pre-bmoe-f19-1,2,3,4,3,1,4,4,4,5,5,4,4,5,3,4,4,2,2,4,3,3,1,4,5,4,4,2,3,4,4,1,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),510.0,6.324999999999999,8.03125,8.3125,5.875000000000001,4.65625,8.03125,4.0,4.300000000000001,6.504464285714286,CAL,Before
33,pre-bmoe-f19-1,2,4,3,2,1,5,5,4,5,5,3,4,5,5,4,4,4,4,4,3,3,2,3,5,4,3,1,4,3,3,1,Bachelor's Degree,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),510.0,6.4750000000000005,9.15625,7.46875,7.975,4.9375,6.34375,1.0,2.35,6.386607142857144,CAL,Before
34,pre-bmoe-f19-1,4,3,4,2,2,5,5,4,5,5,5,4,5,5,3,4,2,4,3,4,2,2,4,4,5,4,1,4,2,5,2,Some College,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),92131.0,7.524999999999999,9.15625,9.15625,6.925000000000001,6.90625,8.03125,1.0,2.35,7.15,CAL,Before
35,pre-bmoe-f19-1,4,3,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,3,4,4,5,5,3,4,3,3,2,Bachelor's Degree,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,7.524999999999999,10.0,10.0,10.0,6.90625,9.4375,7.0,7.15,8.716964285714285,CAL,Before
36,pre-bmoe-f19-1,3,2,4,3,2,4,4,3,5,4,2,4,3,3,3,3,2,3,4,4,2,4,4,5,3,3,2,2,4,3,2,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),408.0,6.550000000000001,7.1875,5.78125,5.275,7.1875,6.34375,4.0,3.85,6.0249999999999995,CAL,Before
37,pre-bmoe-f19-1,3,4,4,4,1,5,5,4,5,5,4,2,4,4,5,4,3,5,4,2,3,3,5,5,4,5,2,3,3,5,3,Master's Degree (or Similar),Male,Well into career,,Owner (or Self-Employed),,Educational Services,100.0,Over 40,Thailand,6610110.0,6.1,9.15625,6.34375,8.724999999999998,4.9375,9.71875,4.0,4.300000000000001,7.040178571428571,Unknown,Before
38,pre-bmoe-f19-1,1,2,3,2,4,5,5,4,4,4,4,5,5,4,3,4,3,5,3,3,2,2,4,5,4,4,2,3,3,5,2,Bachelor's Degree,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,4.5249999999999995,8.875,8.875,7.524999999999999,6.625,8.03125,4.0,4.300000000000001,6.965178571428572,CAL,Before
39,pre-bmoe-f19-1,3,2,4,2,3,5,5,4,5,5,4,3,4,5,3,4,3,2,5,2,2,2,4,5,4,3,2,4,3,5,4,Some College,Choose not to disclose,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),510.0,6.550000000000001,9.15625,7.1875,5.95,5.78125,6.625,4.0,4.75,6.571428571428571,CAL,Before
40,pre-bmoe-f19-1,3,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,1,3,4,5,4,4,2,4,4,5,2,Bachelor's Degree,Female,Recently started career,,Employee (Hourly or Salaried),Manager,"Professional, Scientific, and Technical Services",2000.0,Under 29,United States of America (USA),512.0,5.05,10.0,10.0,10.0,8.59375,8.03125,4.0,4.75,8.060714285714285,Unknown,Before
41,pre-bmoe-f19-1,3,4,4,4,3,5,3,4,5,4,5,5,5,3,4,2,2,3,3,3,2,1,5,4,5,5,3,5,2,2,1,Some College,Female,Still in school,Arts & Humanities,,,,,Under 29,United States of America (USA),94704.0,4.9,7.46875,9.71875,5.275,6.34375,9.71875,7.0,7.6000000000000005,7.289285714285714,Unknown,Before
42,pre-bmoe-f19-1,3,3,2,4,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,2,4,3,4,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,5.275,9.15625,10.0,10.0,3.25,6.34375,4.0,4.75,6.9678571428571425,CAL,Before
43,pre-bmoe-f19-1,3,3,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,2,4,3,4,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,5.275,10.0,10.0,10.0,3.25,6.0625,4.0,4.75,7.048214285714286,CAL,Before
44,pre-bmoe-f19-1,4,4,4,2,2,4,4,3,5,5,3,3,4,3,3,3,3,3,4,5,2,2,4,5,5,5,2,4,3,3,3,Some College,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),,7.299999999999999,7.1875,6.34375,5.5,6.90625,9.71875,4.0,4.75,6.815178571428571,CAL,Before
45,pre-bmoe-f19-1,5,3,5,1,3,5,5,5,5,5,5,5,4,4,4,4,5,4,2,4,4,2,4,5,2,4,3,5,4,5,5,PhD (or Beyond),Female,Middle of career,,Owner (or Self-Employed),,"Professional, Scientific, and Technical Services",0.0,29 to 40,Brazil,1.0,8.35,10.0,9.71875,7.975,4.375,7.46875,7.0,7.6000000000000005,7.926785714285715,Unknown,Before
46,pre-bmoe-f19-1,2,4,2,4,2,5,5,5,5,5,5,4,5,4,4,4,4,5,2,5,2,5,5,5,5,3,4,4,2,4,2,Bachelor's Degree,Female,Recently started career,,Employee (Hourly or Salaried),Entry Level,"Professional, Scientific, and Technical Services",18.0,Under 29,Malaysia,40460.0,4.449999999999999,10.0,9.15625,8.35,8.3125,7.1875,10.0,9.55,8.143749999999999,Unknown,Before
47,pre-bmoe-f19-1,4,4,5,2,2,4,5,3,4,5,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,2,4,3,2,2,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),415.0,7.524999999999999,7.75,6.34375,7.75,6.0625,7.75,4.0,4.75,6.847321428571428,CAL,Before
48,pre-bmoe-f19-1,1,5,2,4,5,5,4,3,4,5,5,5,5,4,5,4,4,4,4,3,2,4,4,5,4,4,2,4,4,4,4,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),510.0,1.8250000000000002,7.1875,10.0,8.35,6.90625,8.03125,4.0,4.75,6.721428571428572,CAL,Before
49,pre-bmoe-f19-1,4,4,4,4,3,4,4,5,4,5,5,5,5,4,4,4,4,5,3,3,3,2,4,4,4,3,2,4,3,5,3,Some College,Female,Still in school,Arts & Humanities,,,,,Under 29,United States of America (USA),94704.0,5.5,8.59375,10.0,8.35,5.21875,6.34375,4.0,4.75,6.965178571428572,CAL,Before
50,pre-bmoe-f19-1,4,3,4,4,3,3,4,4,5,4,3,4,5,5,4,4,4,3,3,5,3,3,5,4,5,1,2,3,5,5,3,Some College,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,5.725,7.75,7.1875,7.375,6.0625,4.09375,4.0,4.300000000000001,6.070535714285714,CAL,Before
51,pre-bmoe-f19-1,2,4,2,4,3,5,5,1,5,5,3,5,5,5,5,4,5,5,5,2,2,3,5,5,4,4,1,4,4,5,3,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,3.8499999999999996,6.625,8.3125,9.4,6.0625,8.3125,1.0,2.35,6.416071428571429,CAL,Before
52,pre-bmoe-f19-1,4,4,3,3,2,4,3,4,4,3,2,2,4,5,4,5,5,5,4,4,3,4,4,4,5,4,2,4,4,3,2,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,6.4750000000000005,6.90625,4.09375,9.4,5.78125,8.03125,4.0,4.75,6.491071428571429,CAL,Before
53,pre-bmoe-f19-1,3,3,3,2,2,4,3,3,5,5,3,3,4,3,4,3,3,3,4,3,2,4,4,4,4,4,2,3,2,3,3,Some College,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,6.699999999999999,6.34375,6.34375,6.1,6.90625,7.75,4.0,4.300000000000001,6.349107142857142,CAL,Before
54,pre-bmoe-f19-1,3,2,4,1,2,5,4,4,5,5,5,5,5,4,5,4,4,5,1,4,1,3,5,5,5,5,2,3,3,5,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,Malaysia,601.0,7.75,8.3125,10.0,8.95,9.15625,10.0,4.0,4.300000000000001,8.352678571428571,Unknown,Before
55,pre-bmoe-f19-1,4,4,5,4,2,5,5,4,5,5,5,5,5,5,5,5,5,4,5,2,4,3,4,4,3,3,2,5,3,5,5,Some College,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,6.324999999999999,9.15625,10.0,9.4,3.25,6.0625,4.0,5.2,7.0562499999999995,CAL,Before
56,pre-bmoe-f19-1,5,2,5,2,2,5,5,5,5,5,5,5,5,4,5,3,4,5,1,3,2,2,4,5,5,5,2,5,3,4,3,Some College,,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94539.0,8.575,10.0,10.0,8.35,7.1875,9.71875,4.0,5.2,8.433035714285714,CAL,Before
57,pre-bmoe-f19-1,2,3,4,5,1,4,4,3,4,4,3,4,4,3,4,3,4,3,4,4,3,2,4,4,4,4,1,4,3,3,1,Some College,Male,Still in school,Natural Resource Management (and Related),,,,,Under 29,United States of America (USA),94705.0,5.124999999999999,6.90625,6.90625,6.325000000000001,5.21875,7.75,1.0,2.35,5.797321428571428,CAL,Before
58,pre-bmoe-f19-1,4,2,5,1,2,5,5,5,5,5,5,5,5,4,4,3,4,4,4,3,2,2,4,4,4,4,2,4,3,3,1,Some College,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94704.0,8.575,10.0,10.0,7.15,6.34375,7.75,4.0,4.75,7.795535714285713,CAL,Before
59,pre-bmoe-f19-1,4,3,4,2,2,4,4,2,5,4,5,5,5,5,5,5,5,5,5,2,2,3,4,5,2,2,2,5,3,5,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94132.0,7.524999999999999,6.34375,9.71875,10.0,6.0625,4.65625,4.0,5.2,7.072321428571429,Unknown,Before
60,pre-bmoe-f19-1,5,5,5,1,3,5,4,2,5,5,3,5,5,4,4,4,4,4,3,2,2,5,5,5,5,5,2,4,5,5,3,Bachelor's Degree,Male,Recently started career,,Employee (Hourly or Salaried),Manager,Transportation and Warehousing,2000.0,Under 29,Brazil,5527.0,7.899999999999999,6.625,8.3125,7.75,7.1875,10.0,4.0,4.75,7.503571428571428,Unknown,Before
